Leaves,Order,Family,Subfamily,Genus,Family Definition
NC_055039,Bardichvirales,Bombardviridae,Mundilfarivirinae,,Newly defined
NC_028862,Bardichvirales,Bombardviridae,Mundilfarivirinae,,Newly defined
NC_007054,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_2,Newly defined
NC_009762,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_2,Newly defined
NC_022758,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_2,Newly defined
NC_055038,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_2,Newly defined
NC_011612,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_2,Newly defined
NC_021323,Bardichvirales,Bombardviridae,Mundilfarivirinae,,Newly defined
NC_007053,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_1,Newly defined
NC_007052,Bardichvirales,Bombardviridae,Mundilfarivirinae,,Newly defined
NC_011344,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_1,Newly defined
NC_055049,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_1,Newly defined
NC_055047,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_1,Newly defined
NC_055045,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_1,Newly defined
NC_055040,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_1,Newly defined
NC_055048,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_1,Newly defined
NC_055041,Bardichvirales,Bombardviridae,Mundilfarivirinae,,Newly defined
NC_002661,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_3,Newly defined
NC_055046,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_3,Newly defined
NC_055042,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_1,Newly defined
NC_055044,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_1,Newly defined
NC_055043,Bardichvirales,Bombardviridae,Mundilfarivirinae,Triavirus_1,Newly defined
NC_048662,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_019935,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_041902,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_048796,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,,Newly defined
NC_048759,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Myosmarvirus,Newly defined
NC_048676,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_050151,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_007810,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_028939,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_011810,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_050150,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_050143,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_026600,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_048663,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_048744,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_050144,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_011165,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_011703,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_011756,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_041865,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_028971,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_042080,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_048806,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_017674,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_050149,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_048800,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Myosmarvirus,Newly defined
NC_050148,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_042079,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_048699,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_048745,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_048675,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_050146,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_011166,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_019451,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_041870,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_048626,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_028745,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_047962,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Carpasinavirus,Newly defined
NC_050145,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Pbunavirus,Newly defined
NC_025441,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Wifcevirus,Newly defined
NC_048073,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Wifcevirus,Newly defined
NC_048194,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Wifcevirus,Newly defined
NC_048195,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Wifcevirus,Newly defined
NC_042092,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,,Newly defined
NC_048147,Thumleimavirales,Bo-Shurikenviridae,Isonoevirinae,Carpasinavirus,Newly defined
NC_004683,Vilmavirales,Bowieviridae,Themistovirinae,,Newly defined
NC_026589,Vilmavirales,Bowieviridae,Themistovirinae,,Newly defined
NC_042016,Vilmavirales,Cannonballviridae,Anankevirinae,Rimavirus,Newly defined
NC_042106,Vilmavirales,Cannonballviridae,Anankevirinae,Rimavirus,Newly defined
NC_041889,Vilmavirales,Cannonballviridae,Anankevirinae,Rimavirus,Newly defined
NC_042042,Vilmavirales,Cannonballviridae,Anankevirinae,,Newly defined
NC_070877,Vilmavirales,Cannonballviridae,Atlasvirinae,,Newly defined
NC_070944,Vilmavirales,Cannonballviridae,Atlasvirinae,Mudcatvirus,Newly defined
NC_070943,Vilmavirales,Cannonballviridae,Atlasvirinae,Mudcatvirus,Newly defined
NC_031224,Vilmavirales,Cannonballviridae,Atlasvirinae,Mudcatvirus,Newly defined
NC_070947,Vilmavirales,Cannonballviridae,Atlasvirinae,Mudcatvirus,Newly defined
NC_041948,Vilmavirales,Cannonballviridae,Atlasvirinae,Mudcatvirus,Newly defined
NC_070946,Vilmavirales,Cannonballviridae,Atlasvirinae,Mudcatvirus,Newly defined
NC_070938,Vilmavirales,Cannonballviridae,Atlasvirinae,Mudcatvirus,Newly defined
NC_070942,Vilmavirales,Cannonballviridae,Atlasvirinae,Mudcatvirus,Newly defined
NC_070940,Vilmavirales,Cannonballviridae,Atlasvirinae,Mudcatvirus,Newly defined
NC_070939,Vilmavirales,Cannonballviridae,Atlasvirinae,Mudcatvirus,Newly defined
NC_070941,Vilmavirales,Cannonballviridae,Atlasvirinae,Mudcatvirus,Newly defined
NC_070945,Vilmavirales,Cannonballviridae,Atlasvirinae,Mudcatvirus,Newly defined
NC_054997,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_054993,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_2,Newly defined
NC_055008,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_2,Newly defined
NC_055014,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_2,Newly defined
NC_031075,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_2,Newly defined
NC_031071,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_2,Newly defined
NC_031009,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_2,Newly defined
NC_001706,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_054990,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_2,Newly defined
NC_054996,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_2,Newly defined
NC_055013,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_2,Newly defined
NC_055001,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_2,Newly defined
NC_055002,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_2,Newly defined
NC_054999,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_2,Newly defined
NC_001629,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_2,Newly defined
NC_055006,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_2,Newly defined
NC_055005,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_055011,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_054992,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_055010,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_055004,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_055012,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_055009,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_054994,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_054995,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_054998,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_055000,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_055017,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_055007,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_054991,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_055018,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_055003,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_055016,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_055015,Vilmavirales,Catapultviridae,Hippocampvirinae,Ceduovirus_1,Newly defined
NC_041857,Thumleimavirales,Chakramviridae,Hermippevirinae,Obolenskvirus_1,Newly defined
NC_042028,Thumleimavirales,Chakramviridae,Hermippevirinae,,Newly defined
NC_024785,Thumleimavirales,Chakramviridae,Hermippevirinae,Obolenskvirus_1,Newly defined
NC_031117,Thumleimavirales,Chakramviridae,Hermippevirinae,Obolenskvirus_1,Newly defined
NC_041998,Thumleimavirales,Chakramviridae,Hermippevirinae,Obolenskvirus_1,Newly defined
NC_017984,Thumleimavirales,Chakramviridae,Hermippevirinae,Obolenskvirus_2,Newly defined
NC_041924,Thumleimavirales,Chakramviridae,Hermippevirinae,Obolenskvirus_2,Newly defined
NC_041966,Thumleimavirales,Chakramviridae,Hermippevirinae,Obolenskvirus_2,Newly defined
NC_054464,Thumleimavirales,Chakramviridae,Diavirinae,,Newly defined
NC_026611,Thumleimavirales,Chakramviridae,Diavirinae,,Newly defined
NC_070954,Thumleimavirales,Chakramviridae,Helikevirinae,,Newly defined
NC_070955,Thumleimavirales,Chakramviridae,Helikevirinae,,Newly defined
NC_019527,Thumleimavirales,Chakramviridae,Thyonevirinae,,Newly defined
NC_054466,Thumleimavirales,Chakramviridae,Thyonevirinae,Kunmingvirus,Newly defined
NC_054465,Thumleimavirales,Chakramviridae,Thyonevirinae,Kunmingvirus,Newly defined
NC_049941,Drexlervirales,Chukonuviridae,Elaravirinae,,Newly defined
NC_004813,Drexlervirales,Chukonuviridae,Elaravirinae,,Newly defined
NC_049942,Drexlervirales,Chukonuviridae,Elaravirinae,,Newly defined
NC_011356,Drexlervirales,Chukonuviridae,Elaravirinae,Pankowvirus,Newly defined
NC_011357,Drexlervirales,Chukonuviridae,Elaravirinae,Pankowvirus,Newly defined
NC_049943,Drexlervirales,Chukonuviridae,Elaravirinae,Pankowvirus,Newly defined
NC_049945,Drexlervirales,Chukonuviridae,Elaravirinae,Pankowvirus,Newly defined
NC_049944,Drexlervirales,Chukonuviridae,Elaravirinae,Pankowvirus,Newly defined
NC_054392,Vilmavirales,Cutlassviridae,Margaretvirinae,,Newly defined
NC_031028,Vilmavirales,Cutlassviridae,Margaretvirinae,,Newly defined
NC_021865,Bardichvirales,Daneaxeviridae,Skathivirinae,,Newly defined
NC_048716,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_048688,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_048690,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_048691,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_048693,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_048715,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_048714,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_048717,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_028758,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_029084,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_048689,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_028788,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_028854,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_041909,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_048692,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_028851,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_048718,Bardichvirales,Daneaxeviridae,Skathivirinae,Fernvirus,Newly defined
NC_054645,Drexlervirales,Derringerviridae,Pasiphaevirinae,Skatevirus,Newly defined
NC_054642,Drexlervirales,Derringerviridae,Pasiphaevirinae,Skatevirus,Newly defined
NC_054639,Drexlervirales,Derringerviridae,Pasiphaevirinae,Skatevirus,Newly defined
NC_054641,Drexlervirales,Derringerviridae,Pasiphaevirinae,Skatevirus,Newly defined
NC_070846,Drexlervirales,Derringerviridae,Pasiphaevirinae,Skatevirus,Newly defined
NC_054644,Drexlervirales,Derringerviridae,Pasiphaevirinae,Skatevirus,Newly defined
NC_054646,Drexlervirales,Derringerviridae,Pasiphaevirinae,Skatevirus,Newly defined
NC_031918,Drexlervirales,Derringerviridae,Pasiphaevirinae,,Newly defined
NC_031924,Drexlervirales,Derringerviridae,Pasiphaevirinae,Cedarrivervirus,Newly defined
NC_054649,Drexlervirales,Derringerviridae,Pasiphaevirinae,,Newly defined
NC_054643,Drexlervirales,Derringerviridae,Pasiphaevirinae,,Newly defined
NC_054651,Drexlervirales,Derringerviridae,Pasiphaevirinae,Deseoctovirus,Newly defined
NC_054650,Drexlervirales,Derringerviridae,Pasiphaevirinae,Deseoctovirus,Newly defined
NC_054648,Drexlervirales,Derringerviridae,Pasiphaevirinae,,Newly defined
NC_054640,Drexlervirales,Derringerviridae,Pasiphaevirinae,,Newly defined
NC_054636,Drexlervirales,Derringerviridae,Pasiphaevirinae,Cedarrivervirus,Newly defined
NC_054637,Drexlervirales,Derringerviridae,Pasiphaevirinae,,Newly defined
NC_054647,Drexlervirales,Derringerviridae,Pasiphaevirinae,,Newly defined
NC_054638,Drexlervirales,Derringerviridae,Naiadvirinae,,Newly defined
NC_010495,Drexlervirales,Derringerviridae,Naiadvirinae,,Newly defined
NC_048695,Dirkvirales,Dirkviridae,Ilmarëvirinae,Montyvirus,Newly defined
NC_028865,Dirkvirales,Dirkviridae,Ilmarëvirinae,,Newly defined
NC_048207,Dirkvirales,Dirkviridae,Ilmarëvirinae,Montyvirus,Newly defined
NC_048768,Dirkvirales,Dirkviridae,Ilmarëvirinae,Montyvirus,Newly defined
NC_048851,Dirkvirales,Dirkviridae,Ilmarëvirinae,Montyvirus,Newly defined
NC_048783,Dirkvirales,Dirkviridae,Ilmarëvirinae,Montyvirus,Newly defined
NC_047921,Dirkvirales,Dirkviridae,Ilmarëvirinae,Montyvirus,Newly defined
NC_048746,Dirkvirales,Dirkviridae,Ilmarëvirinae,Montyvirus,Newly defined
NC_048820,Dirkvirales,Dirkviridae,Ilmarëvirinae,Montyvirus,Newly defined
NC_047892,Dirkvirales,Dirkviridae,Ilmarëvirinae,Montyvirus,Newly defined
NC_030924,Dirkvirales,Dirkviridae,Ilmarëvirinae,Montyvirus,Newly defined
NC_028966,Dirkvirales,Dirkviridae,Ilmarëvirinae,,Newly defined
NC_030905,Dirkvirales,Dirkviridae,Ilmarëvirinae,,Newly defined
NC_030944,Dirkvirales,Dirkviridae,Ilmarëvirinae,Demosthenesvirus,Newly defined
