protein,refseq_genbank_entry,predicted_pfam,pfam_definition,cluster_genome_accn,cluster_phage
NP_040613.1,NP_040613.1 hypothetical protein lambdap37 [Escherichia phage Lambda],PF11058,Antirestriction protein Ral,NC_001416,Escherichia phage Lambda
NP_040620.1,NP_040620.1 CIII anti-termination [Escherichia phage Lambda],PF02061,Lambda Phage CIII,NC_001416,Escherichia phage Lambda
NP_040623.1,NP_040623.1 hypothetical protein lambdap47 [Escherichia phage Lambda],PF05874,Pheromone biosynthesis activating neuropeptide (PBAN),NC_001416,Escherichia phage Lambda
NP_040627.1,NP_040627.1 RexA-like exclusion protein [Escherichia phage Lambda],PF15969,Intracellular sensor of Lambda phage Abi component,NC_001416,Escherichia phage Lambda
NP_040632.1,NP_040632.1 DNA replication protein [Escherichia phage Lambda],PF06992,Replication protein P,NC_001416,Escherichia phage Lambda
NP_040643.1,NP_040643.1 hypothetical protein lambdap73 [Escherichia phage Lambda],PF01104,Bunyavirus non-structural protein NS-s,NC_001416,Escherichia phage Lambda
NP_040720.1,NP_040720.1 hypothetical protein H3027_gp07 [Bacillus phage PZA],PF10809,Protein of unknown function (DUF2732),NC_001423,Bacillus phage PZA
NP_040724.1,NP_040724.1 head scaffolding protein [Bacillus phage PZA],PF11418,Phi29 scaffolding protein,NC_001423,Bacillus phage PZA
NP_040736.1,NP_040736.1 YgiT-type zinc finger protein [Bacillus phage PZA],PF05864,Chordopoxvirus DNA-directed RNA polymerase 7 kDa polypeptide (RPO7),NC_001423,Bacillus phage PZA
NP_040738.1,NP_040738.1 hypothetical protein H3027_gp25 [Bacillus phage PZA],PF10802,Protein of unknown function (DUF2540),NC_001423,Bacillus phage PZA
NP_041978.1,NP_041978.1 hypothetical protein T7p25 [Escherichia phage T7],PF17576,Family of unknown function (DUF5480),NC_001604,Escherichia phage T7
NP_041979.1,NP_041979.1 hypothetical protein T7p26 [Escherichia phage T7],PF17565,Family of unknown function (DUF5471),NC_001604,Escherichia phage T7
NP_041990.1,NP_041990.1 DUF2717 domain-containing protein [Escherichia phage T7],PF10911,Bacteriophage T7-like gene 6.5,NC_001604,Escherichia phage T7
NP_042312.1,NP_042312.1 hypothetical protein bIL67_gp05 [Lactococcus phage bIL67],PF16677,DNA-packaging protein gp3,NC_001629,Lactococcus phage bIL67
NP_042316.1,NP_042316.1 hypothetical protein bIL67_gp09 [Lactococcus phage bIL67],PF06894,Bacteriophage lambda tail assembly chaperone TAC protein G,NC_001629,Lactococcus phage bIL67
NP_042318.1,NP_042318.1 hypothetical protein bIL67_gp11 [Lactococcus phage bIL67],PF00721,Virus coat protein (TMV like),NC_001629,Lactococcus phage bIL67
NP_042320.1,NP_042320.1 virion structural protein [Lactococcus phage bIL67],PF05352,Phage Connector (GP10),NC_001629,Lactococcus phage bIL67
NP_042335.1,NP_042335.1 hypothetical protein bIL67_gp28 [Lactococcus phage bIL67],PF06298,Photosystem II protein Y (PsbY),NC_001629,Lactococcus phage bIL67
NP_042342.1,NP_042342.1 hypothetical protein bIL67_gp35 [Lactococcus phage bIL67],PF10757,Biofilm formation regulator YbaJ,NC_001629,Lactococcus phage bIL67
NP_043504.1,NP_043504.1 hypothetical protein HP1p40 [Haemophilus phage HP1],PF06593,Raspberry bushy dwarf virus coat protein,NC_001697,Haemophilus phage HP1
NP_043541.1,NP_043541.1 hypothetical protein c2p15 [Lactococcus phage c2],PF06855,YozE SAM-like fold,NC_001706,Lactococcus phage c2
NP_043557.1,NP_043557.1 hypothetical protein c2p31 [Lactococcus phage c2],PF06763,Prophage minor tail protein Z (GPZ),NC_001706,Lactococcus phage c2
NP_043563.1,NP_043563.1 virion structural protein [Lactococcus phage c2],PF03505,Clostridium enterotoxin,NC_001706,Lactococcus phage c2
NP_044969.1,NP_044969.1 hypothetical protein sk1p24 [Lactococcus phage SK1],PF07417,Sigma factor-binding transcriptional regulator Crl,NC_001835,Lactococcus phage SK1
NP_044976.1,NP_044976.1 DNA methyltransferase [Lactococcus phage SK1],PF05528,Accessory protein 5b avian coronavirus,NC_001835,Lactococcus phage SK1
NP_044982.1,NP_044982.1 hypothetical protein sk1p38 [Lactococcus phage SK1],PF09795,Autophagy-related protein 31,NC_001835,Lactococcus phage SK1
NP_044986.1,NP_044986.1 hypothetical protein sk1p42 [Lactococcus phage SK1],PF11480,Colicin-E5 Imm protein,NC_001835,Lactococcus phage SK1
NP_044994.1,NP_044994.1 hypothetical protein sk1p50 [Lactococcus phage SK1],PF05077,Protein of unknown function (DUF678),NC_001835,Lactococcus phage SK1
NP_044998.1,NP_044998.1 hypothetical protein sk1p54 [Lactococcus phage SK1],PF03701,Uncharacterised protein family (UPF0181),NC_001835,Lactococcus phage SK1
NP_046570.1,NP_046570.1 sublancin immunity protein SunI [Bacillus phage SPBc2],PF06713,Bacterial PH domain,NC_001884,Bacillus phage SPBc2
NP_046585.1,NP_046585.1 immunity protein d [Bacillus phage SPBc2],PF17062,Outer spore wall 5,NC_001884,Bacillus phage SPBc2
NP_046598.1,NP_046598.1 hypothetical protein SPBc2p046 [Bacillus phage SPBc2],PF06894,Bacteriophage lambda tail assembly chaperone TAC protein G,NC_001884,Bacillus phage SPBc2
NP_046613.1,NP_046613.1 YonK family protein [Bacillus phage SPBc2],PF09642,YonK protein,NC_001884,Bacillus phage SPBc2
NP_046650.1,NP_046650.1 hypothetical protein SPBc2p098 [Bacillus phage SPBc2],PF07417,Sigma factor-binding transcriptional regulator Crl,NC_001884,Bacillus phage SPBc2
NP_046770.1,NP_046770.1 hypothetical protein P2p15 [Bacteriophage P2],PF08733,PalH/RIM21,NC_001895,Bacteriophage P2
NP_046791.1,NP_046791.1 DUF2732 family protein [Bacteriophage P2],PF10809,Protein of unknown function (DUF2732),NC_001895,Bacteriophage P2
NP_046896.1,NP_046896.1 terminase small subunit [Escherichia phage N15],PF07471,Phage DNA packaging protein Nu1,NC_001901,Escherichia phage N15
NP_046940.1,NP_046940.1 gp45 [Escherichia phage N15],PF10788,Protein of unknown function (DUF2603),NC_001901,Escherichia phage N15
NP_046966.1,NP_046966.1 hypothetical protein psiM2p12 [Methanobacterium phage psiM2],PF03701,Uncharacterised protein family (UPF0181),NC_001902,Methanobacterium phage psiM2
NP_047128.1,NP_047128.1 virion structural protein [Lactococcus phage bIL170],PF10788,Protein of unknown function (DUF2603),NC_001909,Lactococcus phage bIL170
NP_047148.1,NP_047148.1 e25 [Lactococcus phage bIL170],PF18880,Uracil-DNA glycosylase inhibitor,NC_001909,Lactococcus phage bIL170
NP_047154.1,NP_047154.1 e19 [Lactococcus phage bIL170],PF02529,Cytochrome B6-F complex subunit 5,NC_001909,Lactococcus phage bIL170
NP_047170.1,NP_047170.1 e3 [Lactococcus phage bIL170],PF06569,Protein of unknown function (DUF1128),NC_001909,Lactococcus phage bIL170
NP_047949.1,NP_047949.1 gp4a [Lomovskayavirus C31],PF06569,Protein of unknown function (DUF1128),NC_001978,Lomovskayavirus C31
NP_047963.1,NP_047963.1 gp18 [Lomovskayavirus C31],PF15097,Immunoglobulin J chain,NC_001978,Lomovskayavirus C31
NP_049463.1,NP_049463.1 hypothetical protein ST933Wp03 [Escherichia phage 933W],PF17466,Family of unknown function,NC_000924,Escherichia phage 933W
NP_049466.1,NP_049466.1 hypothetical protein ST933Wp06 [Escherichia phage 933W],PF04787,Late protein H7,NC_000924,Escherichia phage 933W
NP_049467.1,NP_049467.1 released from the phage upon host infection [Escherichia phage 933W],PF02723,Coronavirus small envelope protein E,NC_000924,Escherichia phage 933W
NP_049470.1,NP_049470.1 cell division protein ZapA [Escherichia phage 933W],PF03206,Nitrogen fixation protein NifW,NC_000924,Escherichia phage 933W
NP_049477.1,NP_049477.1 CIII anti-termination [Escherichia phage 933W],PF02061,Lambda Phage CIII,NC_000924,Escherichia phage 933W
NP_049481.1,NP_049481.1 hypothetical protein ST933Wp21 [Escherichia phage 933W],PF11036,Virulence promoting factor,NC_000924,Escherichia phage 933W
NP_049484.1,NP_049484.1 DUF3024 domain-containing protein [Escherichia phage 933W],PF01491,Frataxin-like domain,NC_000924,Escherichia phage 933W
NP_049495.1,NP_049495.1 P63C domain-containing protein [Escherichia phage 933W],PF07508,Recombinase,NC_000924,Escherichia phage 933W
NP_049500.1,NP_049500.1 Shiga toxin subunit A [Escherichia phage 933W],PF00161,Ribosome inactivating protein,NC_000924,Escherichia phage 933W
NP_049501.1,NP_049501.1 Shiga toxin subunit B [Escherichia phage 933W],PF02258,Shiga-like toxin beta subunit,NC_000924,Escherichia phage 933W
NP_049503.1,NP_049503.1 hypothetical protein ST933Wp43 [Escherichia phage 933W],PF08178,GnsA/GnsB toxin of bacterial toxin-antitoxin system,NC_000924,Escherichia phage 933W
NP_049504.1,NP_049504.1 holin [Escherichia phage 933W],PF04971,Bacteriophage P21 holin S,NC_000924,Escherichia phage 933W
NP_049513.1,NP_049513.1 hypothetical protein ST933Wp53 [Escherichia phage 933W],PF06810,Phage minor structural protein GP20,NC_000924,Escherichia phage 933W
NP_049516.1,NP_049516.1 hypothetical protein ST933Wp56 [Escherichia phage 933W],PF14553,YqbF hypothetical protein domain,NC_000924,Escherichia phage 933W
NP_049520.1,NP_049520.1 tail fiber protein [Escherichia phage 933W],PF06794,Uncharacterised protein family (UPF0270),NC_000924,Escherichia phage 933W
NP_049521.1,NP_049521.1 hypothetical protein ST933Wp61 [Escherichia phage 933W],PF06174,Protein of unknown function (DUF987),NC_000924,Escherichia phage 933W
NP_049529.1,NP_049529.1 hypothetical protein ST933Wp69 [Escherichia phage 933W],PF05332,Vesivirus VP2 protein,NC_000924,Escherichia phage 933W
NP_049531.1,NP_049531.1 hypothetical protein ST933Wp71 [Escherichia phage 933W],PF16928,DNA/protein translocase of phage P22 injectosome,NC_000924,Escherichia phage 933W
NP_049663.1,NP_049663.1 translation repressor [Escherichia phage T4],PF01818,Bacteriophage translational regulator,NC_000866,Escherichia phage T4
NP_049715.1,NP_049715.1 MobD.5 hypothetical protein [Escherichia phage T4],PF11020,Domain of unknown function (DUF2610),NC_000866,Escherichia phage T4
NP_049809.1,NP_049809.1 Alt.-2 hypothetical protein [Escherichia phage T4],PF01104,Bunyavirus non-structural protein NS-s,NC_000866,Escherichia phage T4
NP_049823.1,NP_049823.1 gp30.9 conserved hypothetical protein [Escherichia phage T4],PF01649,Ribosomal protein S20,NC_000866,Escherichia phage T4
NP_049835.1,NP_049835.1 PseT.1 conserved hypothetical protein [Escherichia phage T4],PF06569,Protein of unknown function (DUF1128),NC_000866,Escherichia phage T4
NP_049837.1,NP_049837.1 Rz-like spanin [Escherichia phage T4],PF03245,Bacteriophage Rz lysis protein,NC_000866,Escherichia phage T4
NP_049876.1,NP_049876.1 gp52.1 conserved hypothetical predicted membrane protein [Escherichia phage T4],PF02529,Cytochrome B6-F complex subunit 5,NC_000866,Escherichia phage T4
NP_049882.1,NP_049882.1 periplasmic protein [Escherichia phage T4],PF06298,Photosystem II protein Y (PsbY),NC_000866,Escherichia phage T4
NP_049885.1,NP_049885.1 outer membrane protein [Escherichia phage T4],PF03742,PetN,NC_000866,Escherichia phage T4
NP_049996.1,NP_049996.1 HTH DNA binding protein [Streptococcus phage Sfi21],PF12728,Helix-turn-helix domain,NC_000872,Streptococcus phage Sfi21
NP_050621.1,NP_050621.1 late transcriptional activator [Escherichia phage Mu],PF08765,Mor transcription activator family,NC_000929,Escherichia phage Mu
NP_050988.1,NP_050988.1 head-tail adaptor Ad3 [Hamiltonella phage APSE-1],PF11650,P22 tail accessory factor,NC_000935,Hamiltonella phage APSE-1
NP_052073.1,NP_052073.1 hypothetical protein phiYeO3-12p08 [Yersinia phage phiYeO3-12],PF08200,Bacteriophage 1.1 Protein,NC_001271,Yersinia phage phiYeO3-12
NP_052077.1,NP_052077.1 1.5 protein [Yersinia phage phiYeO3-12],PF03742,PetN,NC_001271,Yersinia phage phiYeO3-12
NP_052086.1,NP_052086.1 3.7 protein [Yersinia phage phiYeO3-12],PF17466,Family of unknown function,NC_001271,Yersinia phage phiYeO3-12
NP_052102.1,NP_052102.1 6.3 protein [Yersinia phage phiYeO3-12],PF07465,Photosystem I protein M (PsaM),NC_001271,Yersinia phage phiYeO3-12
NP_052103.1,NP_052103.1 DUF2717 domain-containing protein [Yersinia phage phiYeO3-12],PF10911,Bacteriophage T7-like gene 6.5,NC_001271,Yersinia phage phiYeO3-12
NP_052259.1,NP_052259.1 Rz-like spanin [Escherichia phage 186],PF03245,Bacteriophage Rz lysis protein,NC_001317,Escherichia phage 186
NP_056678.1,NP_056678.1 head scaffolding protein [Streptococcus phage Sfi11],PF06810,Phage minor structural protein GP20,NC_002214,Streptococcus phage Sfi11
NP_056696.1,NP_056696.1 gp149 [Streptococcus phage Sfi11],PF11944,Protein of unknown function (DUF3461),NC_002214,Streptococcus phage Sfi11
NP_058455.1,NP_058455.1 hypothetical protein PVL_16 [Staphylococcus phage PVL],PF01464,Transglycosylase SLT domain,NC_002321,Staphylococcus phage PVL
NP_058464.1,NP_058464.1 hypothetical protein PVL_25 [Staphylococcus phage PVL],PF17382,Uncharacterized Ycf70-like,NC_002321,Staphylococcus phage PVL
NP_058468.1,NP_058468.1 Na/K ATPase [Staphylococcus phage PVL],PF17044,Borrelial persistence in ticks protein A,NC_002321,Staphylococcus phage PVL
NP_058470.1,NP_058470.1 hypothetical protein PVL_31 [Staphylococcus phage PVL],PF01381,Helix-turn-helix,NC_002321,Staphylococcus phage PVL
NP_058474.1,NP_058474.1 hypothetical protein PVL_35 [Staphylococcus phage PVL],PF17470,Phage gene product 45.2,NC_002321,Staphylococcus phage PVL
NP_058481.1,NP_058481.1 endonuclease [Staphylococcus phage PVL],PF04363,Protein of unknown function (DUF496),NC_002321,Staphylococcus phage PVL
NP_058483.1,NP_058483.1 metal-dependent hydrolase [Staphylococcus phage PVL],PF02112,cAMP phosphodiesterases class-II,NC_002321,Staphylococcus phage PVL
NP_058492.1,NP_058492.1 hypothetical protein PVL_53 [Staphylococcus phage PVL],PF09964,Uncharacterized protein conserved in bacteria (DUF2198),NC_002321,Staphylococcus phage PVL
NP_058496.1,NP_058496.1 hypothetical protein PVL_57 [Staphylococcus phage PVL],PF05360,yiaA/B two helix domain,NC_002321,Staphylococcus phage PVL
NP_059600.1,NP_059600.1 superinfection exclusion [Salmonella phage P22],PF17346,Family of unknown function (DUF5376),NC_002371,Salmonella phage P22
NP_059631.1,NP_059631.1 hypothetical protein P22gp06 [Salmonella phage P22],PF10948,Protein of unknown function (DUF2635),NC_002371,Salmonella phage P22
NP_059637.1,NP_059637.1 released from the phage upon host infection [Salmonella phage P22],PF16928,DNA/protein translocase of phage P22 injectosome,NC_002371,Salmonella phage P22
NP_061549.1,NP_061549.1 hypothetical protein D3p057 [Pseudomonas phage D3],PF14073,Centrosome localisation domain of Cep57,NC_002484,Pseudomonas phage D3
NP_061554.1,NP_061554.1 hypothetical protein D3p062 [Pseudomonas phage D3],PF17466,Family of unknown function,NC_002484,Pseudomonas phage D3
NP_061558.1,NP_061558.1 hypothetical protein D3p066 [Pseudomonas phage D3],PF13935,Ead/Ea22-like protein,NC_002484,Pseudomonas phage D3
NP_061638.1,NP_061638.1 major tail protein [Staphylococcus prophage phiPV83],PF00983,Tymovirus coat protein,NC_002486,Staphylococcus prophage phiPV83
NP_061646.1,NP_061646.1 DUF2951 domain-containing protein [Staphylococcus prophage phiPV83],PF10779,Haemolysin XhlA,NC_002486,Staphylococcus prophage phiPV83
NP_064748.1,NP_064748.1 gp10 [Roseobacter phage SIO1],PF07180,CaiF/GrlA transcriptional regulator,NC_002519,Roseobacter phage SIO1
NP_072071.1,NP_072071.1 host RecBCD nuclease inhibitor [Yersinia phage phiYeO3-12],PF07747,MTH865-like family,NC_001271,Yersinia phage phiYeO3-12
NP_075273.1,NP_075273.1 tail protein [Mycobacterium phage Bxb1],PF06183,DinI-like family,NC_002656,Mycobacterium phage Bxb1
NP_075291.1,NP_075291.1 minor tail protein [Mycobacterium phage Bxb1],PF08956,Domain of unknown function (DUF1869),NC_002656,Mycobacterium phage Bxb1
NP_075305.1,NP_075305.1 gp38 [Mycobacterium phage Bxb1],PF08137,DVL family,NC_002656,Mycobacterium phage Bxb1
NP_075311.1,NP_075311.1 gp44 [Mycobacterium phage Bxb1],PF01320,Colicin immunity protein / pyocin immunity protein,NC_002656,Mycobacterium phage Bxb1
NP_075313.1,NP_075313.1 site-specific recombination directionality factor RDF [Mycobacterium phage Bxb1],PF10832,YhfG,NC_002656,Mycobacterium phage Bxb1
NP_075341.1,NP_075341.1 gp74 [Mycobacterium phage Bxb1],PF00556,Antenna complex alpha/beta subunit,NC_002656,Mycobacterium phage Bxb1
NP_075343.1,NP_075343.1 gp76 [Mycobacterium phage Bxb1],PF00502,Phycobilisome protein,NC_002656,Mycobacterium phage Bxb1
NP_075466.1,NP_075466.1 hypothetical protein phiSLTp03 [Staphylococcus phage phiSLT],PF03197,Bacteriophage FRD2 protein,NC_002661,Staphylococcus phage phiSLT
NP_075472.1,NP_075472.1 hypothetical protein phiSLTp09 [Staphylococcus phage phiSLT],PF04772,Influenza B matrix protein 2 (BM2),NC_002661,Staphylococcus phage phiSLT
NP_075477.1,NP_075477.1 DUF2482 family protein [Staphylococcus phage phiSLT],PF08967,Putative type 4B encapsulin shell protein,NC_002661,Staphylococcus phage phiSLT
NP_075483.1,NP_075483.1 hypothetical protein phiSLTp20 [Staphylococcus phage phiSLT],PF02532,Photosystem II reaction centre I protein (PSII 4.8 kDa protein),NC_002661,Staphylococcus phage phiSLT
NP_075516.1,NP_075516.1 hypothetical protein phiSLTp54 [Staphylococcus phage phiSLT],PF05952,Bacillus competence pheromone ComX,NC_002661,Staphylococcus phage phiSLT
NP_075520.1,NP_075520.1 DUF2951 domain-containing protein [Staphylococcus phage phiSLT],PF10779,Haemolysin XhlA,NC_002661,Staphylococcus phage phiSLT
NP_112052.1,NP_112052.1 hypothetical protein HK620p19 [Enterobacteria phage HK620],PF03376,Adenovirus E3B protein,NC_002730,Enterobacteria phage HK620
NP_112072.1,NP_112072.1 hypothetical protein HK620p39 [Enterobacteria phage HK620],PF10735,Protein of unknown function (DUF2526),NC_002730,Enterobacteria phage HK620
NP_112073.1,NP_112073.1 DUF2560 family protein [Enterobacteria phage HK620],PF06569,Protein of unknown function (DUF1128),NC_002730,Enterobacteria phage HK620
NP_150137.1,NP_150137.1 DNA binding protein [Streptococcus phage MM1],PF06322,Phage NinH protein,NC_003050,Streptococcus phage MM1
NP_203425.1,NP_203425.1 integrase Int [Myxococcus phage Mx8],PF00589,Phage integrase family,NC_003085,Myxococcus phage Mx8
NP_490610.1,NP_490610.1 Rz-like spanin [Pseudomonas phage phiCTX],PF03245,Bacteriophage Rz lysis protein,NC_003278,Pseudomonas phage phiCTX
NP_490633.1,NP_490633.1 orf33 [Pseudomonas phage phiCTX],PF06892,Phage regulatory protein CII (CP76),NC_003278,Pseudomonas phage phiCTX
NP_490640.1,NP_490640.1 hypothetical protein phiCTXp43 [Pseudomonas phage phiCTX],PF05363,Herpesvirus US12 family,NC_003278,Pseudomonas phage phiCTX
NP_510931.1,NP_510931.1 RinB-like transcriptional activator [Staphylococcus phage phiETA],PF06116,Transcriptional activator RinB,NC_003288,Staphylococcus phage phiETA
NP_510932.1,NP_510932.1 hypothetical protein phiETA_38 [Staphylococcus phage phiETA],PF03333,Adhesin biosynthesis transcription regulatory protein,NC_003288,Staphylococcus phage phiETA
NP_510933.1,NP_510933.1 terminase small subunit [Staphylococcus phage phiETA],PF07141,Putative bacteriophage terminase small subunit,NC_003288,Staphylococcus phage phiETA
NP_510946.1,NP_510946.1 tail assembly chaperone [Staphylococcus phage phiETA],PF06992,Replication protein P,NC_003288,Staphylococcus phage phiETA
NP_510997.1,NP_510997.1 tail fiber protein [Listeria phage PSA],PF09636,XkdW protein,NC_003291,Listeria phage PSA
NP_511012.1,NP_511012.1 Gp29 protein [Listeria phage PSA],PF10743,Regulatory phage protein cox,NC_003291,Listeria phage PSA
NP_511020.1,NP_511020.1 YopX family protein [Listeria phage PSA],PF09643,YopX protein,NC_003291,Listeria phage PSA
NP_523345.1,NP_523345.1 Rz-like spanin [Enterobacteria phage T3],PF03245,Bacteriophage Rz lysis protein,NC_003298,Bacteriophage T3
NP_536382.1,NP_536382.1 Rz-like spanin [Burkholderia phage phiE125],PF10721,Protein of unknown function (DUF2514),NC_003309,Burkholderia phage phiE125
NP_536386.1,NP_536386.1 VRR-NUC domain-containing protein [Burkholderia phage phiE125],PF01646,Herpes virus proteins UL24 and UL76,NC_003309,Burkholderia phage phiE125
NP_536388.1,NP_536388.1 hypothetical protein phiE125p32 [Burkholderia phage phiE125],PF09631,Sen15 protein,NC_003309,Burkholderia phage phiE125
NP_536410.1,NP_536410.1 hypothetical protein phiE125p54 [Burkholderia phage phiE125],PF02081,Tryptophan RNA-binding attenuator protein,NC_003309,Burkholderia phage phiE125
NP_536638.1,NP_536638.1 hypothetical protein K139p11 [Bacteriophage K139],PF05854,Non-histone chromosomal protein MC1,NC_003313,Bacteriophage K139
NP_536808.1,NP_536808.1 hypothetical protein HP2p02 [Haemophilus phage HP2],PF03843,Outer membrane lipoprotein Slp family,NC_003315,Haemophilus phage HP2
NP_536835.1,NP_536835.1 DUF2590 family protein [Haemophilus phage HP2],PF05720,Cell-cell adhesion domain,NC_003315,Haemophilus phage HP2
NP_569787.1,NP_569787.1 hypothetical protein TM4_gp52 [Mycobacterium phage TM4],PF04764,Protein of unknown function (DUF613),NC_003387,Mycobacterium phage TM4
NP_569788.1,NP_569788.1 hypothetical protein TM4_gp53 [Mycobacterium phage TM4],PF03206,Nitrogen fixation protein NifW,NC_003387,Mycobacterium phage TM4
NP_569820.1,NP_569820.1 hypothetical protein TM4_gp87 [Mycobacterium phage TM4],PF14760,Rnk N-terminus,NC_003387,Mycobacterium phage TM4
NP_569821.1,NP_569821.1 hypothetical protein TM4_gp88 [Mycobacterium phage TM4],PF05322,NINE Protein,NC_003387,Mycobacterium phage TM4
NP_597779.1,NP_597779.1 SieB superinfection exclusion [Escherichia phage Lambda],PF14163,Super-infection exclusion protein B,NC_001416,Escherichia phage Lambda
NP_597781.1,NP_597781.1 head protein [Escherichia phage Lambda],PF07126,Cell-division protein ZapC C-terminal,NC_001416,Escherichia phage Lambda
NP_597782.1,NP_597782.1 hypothetical protein lambdap79 [Escherichia phage Lambda],PF03581,Herpesvirus UL33-like protein,NC_001416,Escherichia phage Lambda
NP_597920.1,NP_597920.1 transcriptional regulator [Staphylococcus prophage phiPV83],PF07288,RNA polymerase epsilon subunit,NC_002486,Staphylococcus prophage phiPV83
NP_602303.1,NP_602303.1 tail fiber protein [Escherichia phage Mu],PF09008,Head binding,NC_000929,Escherichia phage Mu
NP_640278.1,NP_640278.1 DNA helicase [Vibrio phage VpV262],PF00772,DnaB-like helicase N terminal domain,NC_003907,Vibrio phage VpV262
NP_640324.1,NP_640324.1 hypothetical protein VpV262p63 [Vibrio phage VpV262],PF07141,Putative bacteriophage terminase small subunit,NC_003907,Vibrio phage VpV262
NP_680488.1,NP_680488.1 head-tail adaptor Ad1 [Lactobacillus phage A2],PF11436,Protein of unknown function (DUF3199),NC_004112,Lactobacillus phage A2
NP_680498.1,NP_680498.1 hypothetical protein A2p16 [Lactobacillus phage A2],PF08951,Enterocin A Immunity,NC_004112,Lactobacillus phage A2
NP_680524.1,NP_680524.1 hypothetical protein A2p45 [Lactobacillus phage A2],PF03206,Nitrogen fixation protein NifW,NC_004112,Lactobacillus phage A2
NP_680536.1,NP_680536.1 hypothetical protein A2p57 [Lactobacillus phage A2],PF06988,NifT/FixU protein,NC_004112,Lactobacillus phage A2
NP_695132.1,NP_695132.1 ORF54 [Streptococcus phage 01205],PF03887,YfbU domain,NC_004303,Streptococcus phage 01205
NP_705645.1,NP_705645.1 gp19 [Burkholderia phage Bcep781],PF10788,Protein of unknown function (DUF2603),NC_004333,Burkholderia phage Bcep781
